Субъект РФ,Potential,Patients,Technologies,Organizations,Employes,Researchers,Students,Research costs,Organizational expenses,Products
Белгородская область,0.4088,261,2408,21.5077605321508,1655,489,316,1921,23852.391,11.6
Брянская область,0.3197,147,1603,14.3266475644699,688,78,223,977.7,1466.8642,7.3
Владимирская область,0.353,292,6728,24.8730964467005,5365,308,197,5391.3,6077.5891,8.1
Воронежская область,0.4089,594,2538,21.301775147929,10654,947,373,8164.5,13518.6942,6.1
Ивановская область,0.3226,448,933,13.7055837563452,574,233,260,585.7,253.3257,0.2
Калужская область,0.4207,182,3176,24.0112994350283,9275,723,184,6070.9,10539.6734,2.7
Костромская область,0.2738,51,1668,9.05349794238683,114,29,168,130.8,559.6023,9.9
Курская область,0.3251,379,1291,14.5390070921986,2719,176,368,5936.07,2061.0149,8.4
Липецкая область,0.3739,65,3422,33.9350180505415,530,226,189,291.1,15321.369,9.3
Московская область,0.4616,2207,16819,24.7176913425345,86579,7667,103,119715.9,136250.6384,14.7
Орловская область,0.2923,80,1498,13.9830508474576,837,145,414,976.4,1207.2187,1.1
Рязанская область,0.3645,245,1603,20.2898550724638,2461,189,291,1594.4,5585.9224,6.8
Смоленская область,0.368,67,1750,17.7165354330709,903,58,229,1604.5,4286.3088,4.4
Тамбовская область,0.3532,112,1933,17.8832116788321,1125,184,276,1079.2,5818.9103,7.9
Тверская область,0.3277,211,4206,21.9512195121951,3971,334,195,4644.3,14568.956,3.1
Тульская область,0.3954,225,2867,22.5626740947075,4142,216,218,5974.9,16119.8107,12.7
Ярославская область,0.3849,259,2874,25.5384615384615,6354,863,247,6938.5,5778.8664,12.2
Республика Карелия,0.2943,68,660,11.6279069767442,1168,362,187,943.2,624.8182,0.3
Республика Коми,0.3046,54,910,13.5220125786164,1655,501,195,2350,2362.0139,0.4
Архангельская область,0.329,89,1417,15.1515151515152,999,187,171,1522.9,1822.1417,28.4
Вологодская область,0.3347,97,2992,10.7913669064748,464,86,162,479.5,1188.439,2.9
Ленинградская область,0.3266,107,1879,16.7755991285403,7265,599,44,6863.5,40298.7283,2.2
Мурманская область,0.3521,43,1145,23.3830845771144,2138,471,117,2276.1,1097.0718,1.3
Новгородская область,0.3516,68,1983,23.8993710691824,1739,59,133,2751.8,1414.2995,4
Псковская область,0.2697,55,1363,18.4049079754601,236,53,195,437.7,521.9356,2.1
Республика Адыгея,0.2577,14,277,20,283,68,275,241.3,160.066,7.6
Республика Калмыкия,0.2106,28,90,11.1111111111111,158,56,299,67.8,6.1681,0.7
Республика Крым,0.2616,111,86,17.1206225680934,2113,401,219,1487.7,620.8025,1.4
Краснодарский край,0.3723,837,6184,18.3047790802525,6916,2053,210,5422,47422.5212,14.1
Астраханская область,0.3265,90,533,15.3439153439153,653,199,289,549.4,1098.3055,0.2
Волгоградская область,0.3064,468,2502,18.8095238095238,3869,429,249,3547.6,5060.4135,3.6
Ростовская область,0.3943,862,3368,19.7889182058047,11846,1417,319,13102.3,28248.4167,10.6
Республика Дагестан,0.1905,160,606,10.2941176470588,1693,802,181,914.1,20.0647,0.3
Республика Ингушетия,0.1646,3,24,21.4285714285714,244,131,157,62.1,0.683,0.5
Кабардино-Балкарская Республика,0.2517,76,287,16.6666666666667,1050,363,163,654.5,296.5441,0.9
Карачаево-Черкесская Республика,0.2497,13,95,13.3333333333333,589,164,230,510.3,26.673,0.1
Республика Северная Осетия,0.2384,99,157,15.8536585365854,547,181,327,343.4,49.5352,0.1
Чеченская Республика,0.2179,20,256,3.80952380952381,480,291,240,269.3,77.4998,2.8
Ставропольский край,0.3319,222,1486,10.7368421052632,2634,1112,258,1855.3,8485.83,8.3
Республика Башкортостан,0.4118,845,10026,19.0839694656489,7743,1096,255,8813,29888.7276,7
Республика Марий Эл,0.3278,127,980,12.0535714285714,187,55,279,199,1123.9215,14.2
Республика Мордовия,0.3848,85,2619,26.171875,831,89,345,828.8,3894.2919,27.5
Республика Татарстан,0.5375,1081,7648,33.1738437001595,12323,1793,385,16221.4,78404.6412,19.6
Удмуртская Республика,0.3198,200,5651,13.8418079096045,1959,254,302,1768.5,6550.7548,10.8
Чувашская Республика,0.375,182,3167,36.3984674329502,1555,126,288,2034.6,4750.1274,12.2
Пермский край,0.3971,458,4216,17.6549865229111,10328,765,216,14334.3,33459.7768,16
Кировская область,0.3167,161,2449,15.9235668789809,1776,223,256,2157.5,6699.553,6.2
Нижегородская область,0.4957,541,8633,29.3129770992366,40404,2263,273,76190.6,94979.166,15.4
Оренбургская область,0.2889,127,1154,8.19672131147541,1387,250,234,1065.7,23093.1433,3.2
Пензенская область,0.3822,195,1727,25.8760107816712,4817,405,253,5461,8473.4556,10.1
Самарская область,0.4167,790,7506,12.3620309050773,10844,514,313,14246.9,31226.9542,15.6
Саратовская область,0.3575,357,7363,21.7391304347826,5684,994,309,4464,7895.6258,2.3
Ульяновская область,0.385,417,1850,12.0649651972158,5047,283,296,13688.4,6478.8733,12.8
Курганская область,0.2593,90,1684,18.4313725490196,629,155,207,346.7,841.8007,3.6
Свердловская область,0.457,842,10662,31.2272174969623,21212,2674,289,32186.3,44762.0263,10.3
Тюменская область,0.3739,233,2273,27.7,6576,737,388,13154.9,9407.9831,17.8
Челябинская область,0.4288,532,7306,27.0318021201413,15167,1138,278,22381.1,21614.5016,7.2
Республика Алтай,0.2267,4,86,20.8333333333333,125,32,135,92.9,71.1597,1.2
Республика Тыва,0.2183,2,60,3.03030303030303,385,79,144,261.2,17.0898,0.1
Республика Хакасия,0.2406,15,606,11.3207547169811,247,169,159,89.5,1422.2714,0.5
Алтайский край,0.3505,234,2408,17.6587301587302,2486,646,218,1754,4257.2772,4
Красноярский край,0.4124,417,3787,19.1950464396285,7234,863,267,16157.7,35017.6946,3.3
Иркутская область,0.3551,259,2608,15.8790170132325,4292,1259,289,4210.8,22703.5403,0.8
Кемеровская область — Кузбасс,0.363,213,3672,13.5483870967742,1361,470,191,2206.6,3314.1622,1.7
Новосибирская область,0.4414,682,3219,16.4658634538153,22256,5104,362,21629.3,6596.349,8.3
Омская область,0.3698,340,3145,19.5592286501377,4651,318,411,6040.1,39451.6934,2.9
Томская область,0.5312,503,1603,24.496644295302,9301,1774,549,14076.9,15721.9214,5.3
